{   {24, 17, 13, 11, 9, 26, 26, 26, 26, 26, 26, 26, 26},
{25, 17, 14, 12, 10, 29, 29, 29, 29, 29, 29, 29, 29},
{26, 18, 14, 12, 10, 29, 29, 29, 29, 29, 29, 29, 29},
{27, 19, 15, 13, 11, 30, 30, 30, 30, 30, 30, 30, 30},
{28, 20, 16, 13, 11, 31, 31, 31, 31, 31, 31, 31, 31},
{29, 20, 16, 13, 11, 31, 31, 31, 31, 31, 31, 31, 31},
{28, 20, 16, 13, 11, 31, 31, 31, 31, 31, 31, 31, 31},
{29, 20, 16, 13, 12, 31, 31, 31, 31, 31, 31, 31, 31},
{29, 20, 16, 14, 12, 31, 31, 31, 31, 31, 31, 31, 31},
{30, 21, 16, 14, 12, 31, 31, 31, 31, 31, 31, 31, 31},
{30, 21, 17, 14, 12, 33, 33, 33, 33, 33, 33, 33, 33},
{31, 21, 17, 14, 12, 33, 33, 33, 33, 33, 33, 33, 33},
{31, 22, 17, 15, 13, 34, 34, 34, 34, 34, 34, 34, 34},
{31, 22, 17, 15, 13, 36, 36, 36, 36, 36, 36, 36, 36},
{32, 22, 18, 15, 13, 37, 37, 37, 37, 37, 37, 37, 37},
{32, 22, 18, 15, 13, 37, 37, 37, 37, 37, 37, 37, 37},
{31, 22, 17, 15, 13, 34, 34, 34, 34, 34, 34, 34, 34},
{30, 21, 17, 14, 12, 32, 32, 32, 32, 32, 32, 32, 32},
{29, 20, 16, 13, 11, 31, 31, 31, 31, 31, 31, 31, 31},
{27, 19, 15, 13, 11, 29, 29, 29, 29, 29, 29, 29, 29}   }
